id,doctor_id,rep_id,visit_date,visit_time,day_of_week,status,duration_minutes,report_text
96e702a3-8123-48f9-80f4-584d0eb1d8f9,933e4306-749b-437e-94d6-0219c00ac303,REP-001,2025-05-06,13:30,1,Success,19,Плановый визит. Петров К.А. заинтересован в Де-Нол. готов попробовать назначить.
9bf47d66-66fe-4d9c-8d58-984f28cc9951,933e4306-749b-437e-94d6-0219c00ac303,REP-001,2025-05-28,10:30,2,Success,19,"Встреча с Петров К.А.. Презентовал Ранитидин. задал много вопросов по побочным эффектам. Врач упомянул, что использует Нексиум. Врач попросил визитку."
47fe722a-0d0e-41a0-b1a2-fbacb7779d5b,933e4306-749b-437e-94d6-0219c00ac303,REP-001,2025-07-01,15:30,1,Success,20,Петров К.А. выслушал презентацию по Де-Нол. задал много вопросов по побочным эффектам. Основное возражение: побочные эффекты (ЖКТ). Врач попросил визитку.
2a8d4bfa-5dcd-4664-8a65-ad578bfd2db4,933e4306-749b-437e-94d6-0219c00ac303,REP-001,2025-07-17,11:15,3,Success,9,"Визит к Петров К.А.. Обсудили применение Омез при язвенной болезни. Врач готов попробовать назначить. Присутствовала медсестра, тоже заинтересовалась."
79bfb24d-91e2-45a8-b70a-438f51c48c0c,933e4306-749b-437e-94d6-0219c00ac303,REP-001,2025-07-28,12:30,0,Success,18,Плановый визит. Петров К.А. заинтересован в Де-Нол. скептически отнёсся. В следующий раз принести сравнительные таблицы.
67443a80-20ef-4c89-8899-8b2fae71d495,933e4306-749b-437e-94d6-0219c00ac303,REP-001,2025-08-12,15:45,1,Cancelled,0,
2ffd2647-273d-485b-8e2e-d4ab43e66bff,933e4306-749b-437e-94d6-0219c00ac303,REP-001,2025-08-13,15:00,2,Cancelled,0,
312a5cf8-8ed2-46ba-b371-a9c01400baf7,933e4306-749b-437e-94d6-0219c00ac303,REP-001,2025-08-14,09:45,3,Cancelled,0,
8142a002-2e9f-4b09-9dd9-1a93737e6f99,933e4306-749b-437e-94d6-0219c00ac303,REP-001,2025-09-11,14:30,3,Success,9,Визит к Петров К.А.. Детейлинг Ранитидин. нейтрально воспринял информацию. Договорились: оставить образцы и буклеты.
5562e5bf-9d5f-4947-a459-fcf96ba086ff,933e4306-749b-437e-94d6-0219c00ac303,REP-001,2025-10-16,12:15,3,Moved,11,
